88games, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
flagrall, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
99lstwarb, 288, 224,V,R, 810, 1080, 648, 864, 4, 3, 60
99lstwark, 288, 224,V,R, 810, 1080, 648, 864, 4, 3, 60
99lstwar, 288, 224,V,R, 810, 1080, 648, 864, 4, 3, 60
99lstwara, 288, 224,V,R, 810, 1080, 648, 864, 4, 3, 60
10yard85, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
10yardj, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
10yard, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
gtmro, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
gtmrb, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
gtmra, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
gtmr, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
cprogolf18, 256, 240,V,R, 810, 1080, 768, 1024, 4, 3, 60
progolf, 256, 256,V,R, 810, 1080, 768, 1024, 4, 3, 60
1941u, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
1941, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
1941j, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
1941r1, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
1942c64, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1942b, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1942a, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1942abl, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1942, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1942w, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943kai, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943bj, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943ja, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943jah, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943j, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943b, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943b2, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943ua, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943u, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1943mii, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
1944j, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
1944d, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
1944ad, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
1944, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
bgareggabl, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
1945kiiin, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
1945kiii, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
1945kiiio, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
19xxar1, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxjr2, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxd, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xx, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxb, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxh, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxjr1, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxa, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
19xxj, 384, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
2020bb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
2020bba, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
2020bbh, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3countba, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3countb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3x3puzzl, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
3x3puzzla, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
4enraya, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
4enrayaa, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
4in1, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
4play, 0, 0,E,, 0, 0, 0, 0, 4, 3, 60
4dwarrio, 512, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
600, 768, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
64streetja, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
64streetj, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
64street, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
7ordi, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
800fath, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
ablast, 0, 0,E,, 0, 0, 0, 0, 4, 3, 60
abcopjd, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
abcopj, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
abcopd, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
abcop, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
ad2083, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
abscam, 288, 224,V,R, 810, 1080, 648, 864, 4, 3, 60
aceattac, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
aceattaca, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
acrobatm, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
dogfgt, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
dogfgtu, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
actfancrj, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
actfancr1, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
actfancr2, 0, 0,E,, 0, 0, 0, 0, 4, 3, 60
actfancr, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
afightera, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
afighterb, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
afighter, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
hatena, 384, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
cworld2j, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
cworld2ja, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
cworld2jb, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aerofgt, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
aerofgtb, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
aerofgtc, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
sonicwi2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
sonicwi3, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aeroboto, 248, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aerolitos, 0, 0,H,V, 0, 0, 0, 0, 4, 3, 60
aburner, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
